demo_url,theme,hero_title_clean,business_name,city,phone,address,google_place_query,google_rating,reviews_count,categories,website,source_url,facebook,instagram,tiktok
https://dfcms.pl/?site=demo-beauty,beauty,Stacja BarberShop Daniel Miecznik,Stacja BarberShop Daniel Miecznik,Wrocław,+48 733 728 899,"Dobroszycka 2, Dz 1/3","Stacja BarberShop Daniel Miecznik, Wrocław",5,201,Salon fryzjerski,https://booksy.com/pl-pl/239775_stacja-barbershop-daniel-miecznik_barber-shop_13750_wroclaw#ba_s=sr_1,https://www.google.com/maps/search/?api=1&query=Stacja%20BarberShop%20Daniel%20Miecznik&query_place_id=ChIJvSzL5_npD0cRpM9sABn4xGo,,,
https://dfcms.pl/?site=demo-fitness,fitness,Trener personalny MMA,Trener personalny MMA - Łukasz Słówko,Wrocław,+48 667 486 067,Krakowska 98,"Trener personalny MMA - Łukasz Słówko, Wrocław",5,112,Szkoła kickboxingu | Trening grupowy | Siłownia | Klub sztuk walki | Szkoła sztuk walki,https://www.facebook.com/profesjonalnytrener,https://www.google.com/maps/search/?api=1&query=Trener%20personalny%20MMA%20-%20%C5%81ukasz%20S%C5%82%C3%B3wko&query_place_id=ChIJlYlilnfDD0cRNWncQjFl35M,https://www.facebook.com/profesjonalnytrener,,
https://dfcms.pl/?site=demo-services,services,HydroJan Instal Janusz Ziomek,HydroJan Instal Janusz Ziomek,Wrocław,+48 737 398 397,Jabłeczna 10,"HydroJan Instal Janusz Ziomek, Wrocław",5,91,Hydraulik,,https://www.google.com/maps/search/?api=1&query=HydroJan%20Instal%20Janusz%20Ziomek&query_place_id=ChIJj2arL8PDD0cRSwRFKAYAbAE,,,
https://dfcms.pl/?site=demo-services,services,Wycinanie-Drzew-Przycinanie-Żywopłotu-Krzewów,Wycinanie-Drzew-Przycinanie-Żywopłotu-Krzewów,Wrocław,+48 883 559 402,Okulickiego 19a,"Wycinanie-Drzew-Przycinanie-Żywopłotu-Krzewów, Wrocław",5,88,Wycinka drzew | Arborysta i chirurg drzew | Ogrodnik | Prace na wysokościach | Architekt krajobrazu | Pielęgnacja drzew,,https://www.google.com/maps/search/?api=1&query=Wycinanie-Drzew-Przycinanie-%C5%BBywop%C5%82otu-Krzew%C3%B3w&query_place_id=ChIJB8ExnzwEYEcRzVg-1KjQ0sY,,,
https://dfcms.pl/?site=demo-fitness,fitness,Bartek Krajewski,Bartek Krajewski - Trener Personalny,Wrocław,+48 600 389 102,Wiwulskiego 12,"Bartek Krajewski - Trener Personalny, Wrocław",5,79,Trener osobisty | Siłownia,https://instagram.com/krajeek?igshid=MzRlODBiNWFlZA==,https://www.google.com/maps/search/?api=1&query=Bartek%20Krajewski%20-%20Trener%20Personalny&query_place_id=ChIJFZmXWMDDD0cRJdVQhqg9C6k,,https://instagram.com/krajeek?igshid=MzRlODBiNWFlZA==,
https://dfcms.pl/?site=demo-beauty,beauty,EMILIA RESZKO Salon Kosmetologiczny,EMILIA RESZKO Salon Kosmetologiczny | Kosmetolog Wrocław,Wrocław,+48 450 005 525,Marca Polo 47a,"EMILIA RESZKO Salon Kosmetologiczny | Kosmetolog Wrocław, Wrocław",5,76,Salon piękności | Kosmetyki | Usługi estetyczne | Depilacja laserowa | Salon kosmetyczny,http://www.facebook.com/SalonEmiliaReszko,https://www.google.com/maps/search/?api=1&query=EMILIA%20RESZKO%20Salon%20Kosmetologiczny%20%7C%20Kosmetolog%20Wroc%C5%82aw&query_place_id=ChIJYwMlcr3pD0cRyoPjnv8P0ew,http://www.facebook.com/SalonEmiliaReszko,,
https://dfcms.pl/?site=demo-beauty,beauty,Czarny Kot,Czarny Kot,Wrocław,+48 884 666 733,Promień 33,"Czarny Kot, Wrocław",5,73,Fryzjer,https://www.facebook.com/Czarny-KOT-Salon-Fryzjerski-Wroc%C5%82aw-106250947893247,https://www.google.com/maps/search/?api=1&query=Czarny%20Kot&query_place_id=ChIJt5j9PVjpD0cRpw2btelOAfM,https://www.facebook.com/Czarny-KOT-Salon-Fryzjerski-Wroc%C5%82aw-106250947893247,,
https://dfcms.pl/?site=demo-services,services,Ap Hydraulik,Ap Hydraulik,Wrocław,+48 784 639 305,plac Marszałka Józefa Piłsudskiego 7A/2,"Ap Hydraulik, Wrocław",5,71,Hydraulik | Usługi kanalizacyjne | Naprawy hydrauliczne,https://www.facebook.com/profile.php?id=61558330317720,https://www.google.com/maps/search/?api=1&query=Ap%20Hydraulik&query_place_id=ChIJM-vPRZPpD0cRfCHLubEZCaw,https://www.facebook.com/profile.php?id=61558330317720,,
https://dfcms.pl/?site=demo-fitness,fitness,Trener Oliwier Młyński,Trener Oliwier Młyński,Wrocław,,"Bonzai x Gorila Hasta la vista, Góralska 5","Trener Oliwier Młyński, Wrocław",5,62,Trener osobisty,,https://www.google.com/maps/search/?api=1&query=Trener%20Oliwier%20M%C5%82y%C5%84ski&query_place_id=ChIJZ8F86-_DD0cRJe06N0gDL5U,,,
https://dfcms.pl/?site=demo-fitness,fitness,Studio Treningów Personalnych KB17,Studio Treningów Personalnych KB17,Wrocław,+48 518 525 141,Kluczborska 17,"Studio Treningów Personalnych KB17, Wrocław",5,60,Trener osobisty | Siłownia | Odchudzanie,https://www.facebook.com/StudioTreningowPersonalnychKB17/,https://www.google.com/maps/search/?api=1&query=Studio%20Trening%C3%B3w%20Personalnych%20KB17&query_place_id=ChIJDwRikYnpD0cReMiR_CmdAK4,https://www.facebook.com/StudioTreningowPersonalnychKB17/,,
https://dfcms.pl/?site=demo-fitness,fitness,Trener Personalny,Trener Personalny Wrocław - Bartosz Wojciechowski,Wrocław,+48 607 718 827,"Fitness Academy, plac Dominikański 3","Trener Personalny Wrocław - Bartosz Wojciechowski, Wrocław",5,53,Trener osobisty,https://instagram.com/bwojciechowski_,https://www.google.com/maps/search/?api=1&query=Trener%20Personalny%20Wroc%C5%82aw%20-%20Bartosz%20Wojciechowski&query_place_id=ChIJX-O5o93DD0cROFniN9VDHSI,,https://instagram.com/bwojciechowski_,
https://dfcms.pl/?site=demo-fitness,fitness,Justyna Bieć Medyczny trener personalny,Justyna Bieć Medyczny trener personalny,Wrocław,,Podwale 61/1,"Justyna Bieć Medyczny trener personalny, Wrocław",5,52,Trener osobisty,http://remove.booksy.com/a/,https://www.google.com/maps/search/?api=1&query=Justyna%20Bie%C4%87%20Medyczny%20trener%20personalny&query_place_id=ChIJNa8b51PDD0cRPeDkkHgIQdU,,,
https://dfcms.pl/?site=demo-fitness,fitness,TRENER PERSONALNY „FIT ZONE”,TRENER PERSONALNY „FIT ZONE”,Wrocław,+48 730 278 027,Międzyleska 4,"TRENER PERSONALNY „FIT ZONE”, Wrocław",5,52,Trener osobisty,https://www.facebook.com/trenerpersonalnyteam,https://www.google.com/maps/search/?api=1&query=TRENER%20PERSONALNY%20%E2%80%9EFIT%20ZONE%E2%80%9D&query_place_id=ChIJ_-Vm3l7DD0cRJNLsEw-TnOE,https://www.facebook.com/trenerpersonalnyteam,,
https://dfcms.pl/?site=demo-beauty,beauty,Fryzjer Lusi Akademia Fryzur,"Fryzjer Lusi Akademia Fryzur, Studio Urody Primrose ul.Litewska 2a",Wrocław,+48 690 819 460,Wrocław,"Fryzjer Lusi Akademia Fryzur, Studio Urody Primrose ul.Litewska 2a, Wrocław",5,50,Fryzjer | Service establishment,https://www.facebook.com/lusiakademiafryzur,https://www.google.com/maps/search/?api=1&query=Fryzjer%20Lusi%20Akademia%20Fryzur%2C%20Studio%20Urody%20Primrose%20ul.Litewska%202a&query_place_id=ChIJlV081zXpD0cRkYDijmVaU38,https://www.facebook.com/lusiakademiafryzur,,
https://dfcms.pl/?site=demo-beauty,beauty,Salon kosmetyczny,"Salon kosmetyczny, masażu Nature Look Paulina Wojtaszyn",Wrocław,+48 692 190 853,Henryka Sienkiewicza 152/3,"Salon kosmetyczny, masażu Nature Look Paulina Wojtaszyn, Wrocław",5,48,Salon kosmetyczny | Masażysta,,https://www.google.com/maps/search/?api=1&query=Salon%20kosmetyczny%2C%20masa%C5%BCu%20Nature%20Look%20Paulina%20Wojtaszyn&query_place_id=ChIJ39B1GG_pD0cRGKqhdojsFro,,,
https://dfcms.pl/?site=demo-beauty,beauty,Anna,Anna,Wrocław,+48 607 388 285,Zielna 27d,"Anna, Wrocław",5,43,Salon fryzjerski,,https://www.google.com/maps/search/?api=1&query=Anna&query_place_id=ChIJYUaZsoroD0cRyjNAWj_BWyI,,,
https://dfcms.pl/?site=demo-services,services,MacWood Stolarnia,MacWood Stolarnia,Wrocław,+48 728 975 123,Porębska 12,"MacWood Stolarnia, Wrocław",5,43,Stolarz | Budowa wiat i pergol | Sklep z drewnem | Sklep ze stolarką budowlaną | Sklep,,https://www.google.com/maps/search/?api=1&query=MacWood%20Stolarnia&query_place_id=ChIJFbAyJAKzTYARkUhCrFOmItw,,,
https://dfcms.pl/?site=demo-beauty,beauty,Salon Kosmetologii Estetycznej Beauty Point,Salon Kosmetologii Estetycznej Beauty Point,Wrocław,+48 669 426 785,Józefa Lompy 21/2,"Salon Kosmetologii Estetycznej Beauty Point, Wrocław",5,41,Salon piękności | Salon kosmetyczny,,https://www.google.com/maps/search/?api=1&query=Salon%20Kosmetologii%20Estetycznej%20Beauty%20Point&query_place_id=ChIJ1YYmJMHpD0cRFbhnCYRe1yQ,,,
https://dfcms.pl/?site=demo-fitness,fitness,Trener Personalny,Trener Personalny - Mateusz Kujawa,Wrocław,,Plac Grunwaldzki 22,"Trener Personalny - Mateusz Kujawa, Wrocław",5,41,Trener osobisty | Trening grupowy | Siłownia | Studio pilatesu | Miejsce do treningu z podnoszeniem ciężarów | Trener personalny kobiet,https://www.instagram.com/work_with_mat/,https://www.google.com/maps/search/?api=1&query=Trener%20Personalny%20-%20Mateusz%20Kujawa&query_place_id=ChIJj2iTLTTpD0cRIPJs0U2KSRM,,https://www.instagram.com/work_with_mat/,
https://dfcms.pl/?site=demo-beauty,beauty,Corner Hair Markus,Corner Hair Markus,Wrocław,+48 537 189 999,Henryka Sienkiewicza 32,"Corner Hair Markus, Wrocław",5,40,Salon fryzjerski | Sklep z artykułami fryzjerskimi | Kosmetyki | Salon piękności | Sklep z kosmetykami | Fryzjer,,https://www.google.com/maps/search/?api=1&query=Corner%20Hair%20Markus&query_place_id=ChIJHYtmb_vpD0cRR9m9Kawii2w,,,
https://dfcms.pl/?site=demo-beauty,beauty,MS BEAUTY SALON KOSMETYCZNY,MS BEAUTY SALON KOSMETYCZNY,Wrocław,+48 795 922 478,Jedności Narodowej 101,"MS BEAUTY SALON KOSMETYCZNY, Wrocław",5,38,Salon kosmetyczny,https://booksy.com/pl-pl/dl/show-business/186033,https://www.google.com/maps/search/?api=1&query=MS%20BEAUTY%20SALON%20KOSMETYCZNY&query_place_id=ChIJs_vOGwDpD0cR2LK0XFk3cIY,,,
https://dfcms.pl/?site=demo-services,services,Usługi glazurnicze,"Usługi glazurnicze, kompleksowe remonty łazienek Damos-bud",Wrocław,+48 503 926 237,Życzliwa 16,"Usługi glazurnicze, kompleksowe remonty łazienek Damos-bud, Wrocław",5,38,Glazurnik | Hydraulik,https://www.facebook.com/damos.glazurnik,https://www.google.com/maps/search/?api=1&query=Us%C5%82ugi%20glazurnicze%2C%20kompleksowe%20remonty%20%C5%82azienek%20Damos-bud&query_place_id=ChIJMy0gzHLDD0cRhOFJNCU2iS4,https://www.facebook.com/damos.glazurnik,,
https://dfcms.pl/?site=demo-beauty,beauty,Look At You,Look At You,Wrocław,+48 720 888 488,Słowiańska 6,"Look At You, Wrocław",5,37,Salon piękności | Kosmetyczka | Salon kosmetyczny,,https://www.google.com/maps/search/?api=1&query=Look%20At%20You&query_place_id=ChIJk2dyEW_pD0cRHXJtsHs3A8Q,,,
https://dfcms.pl/?site=demo-services,services,Very Nice Walls,Very Nice Walls,Wrocław,,Morawska 29/2,"Very Nice Walls, Wrocław",5,37,Usługi remontowo-budowlane,,https://www.google.com/maps/search/?api=1&query=Very%20Nice%20Walls&query_place_id=ChIJL1wtttjpD0cRkDuvipDGKpQ,,,
https://dfcms.pl/?site=demo-beauty,beauty,Lena Studio Fryzjerskie,Lena Studio Fryzjerskie,Wrocław,+48 514 744 740,Zygmunta Wróblewskiego 29,"Lena Studio Fryzjerskie, Wrocław",5,36,Salon fryzjerski,https://booksy.com/pl-pl/3327_lena-studio-fryzjerskie_fryzjer_13750_wroclaw,https://www.google.com/maps/search/?api=1&query=Lena%20Studio%20Fryzjerskie&query_place_id=ChIJc7RGbaTpD0cRNPaMAMMI4bI,,,
https://dfcms.pl/?site=demo-beauty,beauty,Pani Kosmetyczka Weronika Czubak,Pani Kosmetyczka Weronika Czubak,Wrocław,+48 578 662 429,Piękna 27A/13,"Pani Kosmetyczka Weronika Czubak, Wrocław",5,36,Siedziba firmy | Salon kosmetyczny,https://www.instagram.com/pani_kosmetyczka_?igsh=MTJpamM2dDlueGdxZA==,https://www.google.com/maps/search/?api=1&query=Pani%20Kosmetyczka%20Weronika%20Czubak&query_place_id=ChIJ68mf3_7CD0cRLGrQBPkSVOk,,https://www.instagram.com/pani_kosmetyczka_?igsh=MTJpamM2dDlueGdxZA==,
