slug,demo_url,theme,business_name,city,phone,address,google_place_query,google_rating,reviews_count,categories,website,source_url,facebook,instagram,tiktok
demo-stacja-barbershop-daniel-miecznik,https://dfcms.pl/?site=demo-stacja-barbershop-daniel-miecznik,beauty,Stacja BarberShop Daniel Miecznik,Wrocław,+48 733 728 899,"Dobroszycka 2, Dz 1/3","Stacja BarberShop Daniel Miecznik, Wrocław",5,201,Salon fryzjerski,https://booksy.com/pl-pl/239775_stacja-barbershop-daniel-miecznik_barber-shop_13750_wroclaw#ba_s=sr_1,https://www.google.com/maps/search/?api=1&query=Stacja%20BarberShop%20Daniel%20Miecznik&query_place_id=ChIJvSzL5_npD0cRpM9sABn4xGo,,,
demo-trener-personalny-mma-lukasz-slowko,https://dfcms.pl/?site=demo-trener-personalny-mma-lukasz-slowko,fitness,Trener personalny MMA - Łukasz Słówko,Wrocław,+48 667 486 067,Krakowska 98,"Trener personalny MMA - Łukasz Słówko, Wrocław",5,112,Szkoła kickboxingu | Trening grupowy | Siłownia | Klub sztuk walki | Szkoła sztuk walki,https://www.facebook.com/profesjonalnytrener,https://www.google.com/maps/search/?api=1&query=Trener%20personalny%20MMA%20-%20%C5%81ukasz%20S%C5%82%C3%B3wko&query_place_id=ChIJlYlilnfDD0cRNWncQjFl35M,https://www.facebook.com/profesjonalnytrener,,
demo-hydrojan-instal-janusz-ziomek,https://dfcms.pl/?site=demo-hydrojan-instal-janusz-ziomek,services,HydroJan Instal Janusz Ziomek,Wrocław,+48 737 398 397,Jabłeczna 10,"HydroJan Instal Janusz Ziomek, Wrocław",5,91,Hydraulik,,https://www.google.com/maps/search/?api=1&query=HydroJan%20Instal%20Janusz%20Ziomek&query_place_id=ChIJj2arL8PDD0cRSwRFKAYAbAE,,,
demo-wycinanie-drzew-przycinanie-zywoplotu-kr,https://dfcms.pl/?site=demo-wycinanie-drzew-przycinanie-zywoplotu-kr,consultant,Wycinanie-Drzew-Przycinanie-Żywopłotu-Krzewów,Wrocław,+48 883 559 402,Okulickiego 19a,"Wycinanie-Drzew-Przycinanie-Żywopłotu-Krzewów, Wrocław",5,88,Wycinka drzew | Arborysta i chirurg drzew | Ogrodnik | Prace na wysokościach | Architekt krajobrazu | Pielęgnacja drzew,,https://www.google.com/maps/search/?api=1&query=Wycinanie-Drzew-Przycinanie-%C5%BBywop%C5%82otu-Krzew%C3%B3w&query_place_id=ChIJB8ExnzwEYEcRzVg-1KjQ0sY,,,
demo-bartek-krajewski-trener-personalny,https://dfcms.pl/?site=demo-bartek-krajewski-trener-personalny,fitness,Bartek Krajewski - Trener Personalny,Wrocław,+48 600 389 102,Wiwulskiego 12,"Bartek Krajewski - Trener Personalny, Wrocław",5,79,Trener osobisty | Siłownia,https://instagram.com/krajeek?igshid=MzRlODBiNWFlZA==,https://www.google.com/maps/search/?api=1&query=Bartek%20Krajewski%20-%20Trener%20Personalny&query_place_id=ChIJFZmXWMDDD0cRJdVQhqg9C6k,,https://instagram.com/krajeek?igshid=MzRlODBiNWFlZA==,
demo-emilia-reszko-salon-kosmetologiczny-kosm,https://dfcms.pl/?site=demo-emilia-reszko-salon-kosmetologiczny-kosm,beauty,EMILIA RESZKO Salon Kosmetologiczny | Kosmetolog Wrocław,Wrocław,+48 450 005 525,Marca Polo 47a,"EMILIA RESZKO Salon Kosmetologiczny | Kosmetolog Wrocław, Wrocław",5,76,Salon piękności | Kosmetyki | Usługi estetyczne | Depilacja laserowa | Salon kosmetyczny,http://www.facebook.com/SalonEmiliaReszko,https://www.google.com/maps/search/?api=1&query=EMILIA%20RESZKO%20Salon%20Kosmetologiczny%20%7C%20Kosmetolog%20Wroc%C5%82aw&query_place_id=ChIJYwMlcr3pD0cRyoPjnv8P0ew,http://www.facebook.com/SalonEmiliaReszko,,
demo-czarny-kot,https://dfcms.pl/?site=demo-czarny-kot,beauty,Czarny Kot,Wrocław,+48 884 666 733,Promień 33,"Czarny Kot, Wrocław",5,73,Fryzjer,https://www.facebook.com/Czarny-KOT-Salon-Fryzjerski-Wroc%C5%82aw-106250947893247,https://www.google.com/maps/search/?api=1&query=Czarny%20Kot&query_place_id=ChIJt5j9PVjpD0cRpw2btelOAfM,https://www.facebook.com/Czarny-KOT-Salon-Fryzjerski-Wroc%C5%82aw-106250947893247,,
demo-ap-hydraulik,https://dfcms.pl/?site=demo-ap-hydraulik,services,Ap Hydraulik,Wrocław,+48 784 639 305,plac Marszałka Józefa Piłsudskiego 7A/2,"Ap Hydraulik, Wrocław",5,71,Hydraulik | Usługi kanalizacyjne | Naprawy hydrauliczne,https://www.facebook.com/profile.php?id=61558330317720,https://www.google.com/maps/search/?api=1&query=Ap%20Hydraulik&query_place_id=ChIJM-vPRZPpD0cRfCHLubEZCaw,https://www.facebook.com/profile.php?id=61558330317720,,
demo-trener-oliwier-mlynski,https://dfcms.pl/?site=demo-trener-oliwier-mlynski,fitness,Trener Oliwier Młyński,Wrocław,,"Bonzai x Gorila Hasta la vista, Góralska 5","Trener Oliwier Młyński, Wrocław",5,62,Trener osobisty,,https://www.google.com/maps/search/?api=1&query=Trener%20Oliwier%20M%C5%82y%C5%84ski&query_place_id=ChIJZ8F86-_DD0cRJe06N0gDL5U,,,
demo-studio-treningow-personalnych-kb17,https://dfcms.pl/?site=demo-studio-treningow-personalnych-kb17,fitness,Studio Treningów Personalnych KB17,Wrocław,+48 518 525 141,Kluczborska 17,"Studio Treningów Personalnych KB17, Wrocław",5,60,Trener osobisty | Siłownia | Odchudzanie,https://www.facebook.com/StudioTreningowPersonalnychKB17/,https://www.google.com/maps/search/?api=1&query=Studio%20Trening%C3%B3w%20Personalnych%20KB17&query_place_id=ChIJDwRikYnpD0cReMiR_CmdAK4,https://www.facebook.com/StudioTreningowPersonalnychKB17/,,
